Frame,RX,RY,RZ,TX,TY,TZ
100,0.870416,0.022003,0.035542,23.824476,122.274101,273.994904
101,0.870584,0.022666,0.03623,23.842018,122.322762,273.980499
102,0.870938,0.02183,0.035698,23.835981,122.281761,273.946472
103,0.870319,0.022139,0.035618,23.798012,122.284912,273.986572
104,0.87116,0.022402,0.035819,23.822008,122.312851,273.932983
105,0.870754,0.022054,0.035648,23.803877,122.273926,273.958038
106,0.870099,0.02181,0.03532,23.773392,122.341484,273.982758
107,0.870594,0.021691,0.035331,23.792313,122.292862,273.967957
108,0.871027,0.021018,0.034856,23.778769,122.302971,273.921783
109,0.870802,0.021069,0.035006,23.773491,122.259247,273.935181
110,0.870953,0.020681,0.034217,23.743111,122.288986,273.935516
111,0.871044,0.021811,0.03518,23.778183,122.320358,273.91037
112,0.870777,0.020613,0.034488,23.754452,122.322914,273.919434
113,0.870448,0.022307,0.036169,23.864326,122.27639,273.995087
114,0.870878,0.02147,0.034795,23.770784,122.279152,273.965851
115,0.870522,0.022334,0.035682,23.795877,122.328659,273.984619
116,0.870056,0.022272,0.035933,23.806597,122.244102,274.01355
117,0.870726,0.022424,0.035625,23.776134,122.259041,273.961182
118,0.87066,0.02168,0.034858,23.758408,122.263863,273.984497
119,0.870174,0.022141,0.035859,23.84676,122.297676,274.007202
120,0.870829,0.021255,0.034681,23.75094,122.299446,273.919708
121,0.871056,0.020368,0.034265,23.75598,122.230743,273.930023
122,0.870278,0.0223,0.0358,23.818983,122.272575,273.975708
123,0.871358,0.021799,0.035224,23.775957,122.271111,273.883514
124,0.87117,0.021083,0.035268,23.824045,122.247032,273.89801
125,0.870505,0.021285,0.034866,23.772602,122.278473,273.95105
126,0.870202,0.021213,0.03494,23.790819,122.282768,273.98941
127,0.870951,0.022694,0.035981,23.821459,122.285751,273.928894
128,0.870244,0.022256,0.035419,23.775583,122.360443,273.973602
129,0.870562,0.021971,0.035331,23.785955,122.270439,274.011169
130,0.870677,0.021413,0.035394,23.807755,122.248817,274.004242
131,0.870694,0.021498,0.034954,23.749594,122.282585,273.975739
132,0.870913,0.021471,0.03531,23.789021,122.286484,273.932251
133,0.870349,0.022705,0.035418,23.734049,122.346687,273.979614
134,0.87063,0.021954,0.035509,23.78784,122.296616,273.95462
135,0.870947,0.021261,0.034767,23.784893,122.310532,273.889191
136,0.870859,0.021813,0.035326,23.796331,122.257767,273.959595
137,0.87049,0.020897,0.035146,23.815796,122.337265,273.981171
138,0.870622,0.021741,0.035624,23.824591,122.276054,273.97937
139,0.870364,0.021435,0.035094,23.773006,122.286591,273.993408
140,0.870702,0.021823,0.03553,23.800348,122.259605,273.940613
141,0.870035,0.021295,0.035109,23.757372,122.287834,273.993286
142,0.871071,0.021876,0.035122,23.780291,122.243362,273.959503
143,0.870045,0.021522,0.03529,23.770672,122.264931,274.035339
144,0.870511,0.021737,0.035336,23.766989,122.260254,273.973785
145,0.870803,0.021798,0.034988,23.748611,122.30188,273.968506
146,0.870864,0.02179,0.035269,23.783138,122.25309,273.967224
147,0.870511,0.02208,0.035604,23.802814,122.316666,273.9888
148,0.870573,0.021832,0.03548,23.793268,122.294655,273.961304
149,0.870648,0.022114,0.035967,23.864155,122.292564,273.94101
150,0.870737,0.022116,0.035582,23.77861,122.294968,273.939636
151,0.870543,0.022162,0.035509,23.788963,122.250511,273.959717
152,0.870569,0.021522,0.035317,23.792669,122.273506,273.975769
153,0.87058,0.021505,0.035094,23.790075,122.273117,273.980957
154,0.870029,0.021355,0.035314,23.788172,122.307533,274.017517
155,0.870377,0.021216,0.03545,23.841141,122.253304,274.01532
156,0.870747,0.021207,0.03494,23.765451,122.287834,273.975342
157,0.870644,0.021945,0.035643,23.839479,122.2453,273.975891
158,0.870919,0.021831,0.035147,23.78665,122.282341,273.922791
159,0.87082,0.02248,0.036013,23.808496,122.324326,273.942932
160,0.870485,0.022438,0.035501,23.760185,122.316963,273.93692
161,0.870663,0.021863,0.035283,23.808393,122.297874,273.937897
162,0.870423,0.020576,0.03455,23.814228,122.306412,273.99176
163,0.870757,0.021696,0.035327,23.800951,122.26915,273.961304
164,0.870789,0.021409,0.034835,23.77623,122.293152,273.968506
165,0.870675,0.022863,0.035926,23.807253,122.269608,273.925079
166,0.871055,0.021963,0.035725,23.820761,122.309479,273.920471
167,0.87097,0.022312,0.036212,23.838205,122.299423,273.937195
168,0.870354,0.022947,0.036385,23.823626,122.249077,273.99881
169,0.870036,0.021355,0.035194,23.793421,122.248207,274.010254
170,0.870143,0.02184,0.035565,23.803194,122.237373,273.986176
171,0.870745,0.021872,0.035662,23.82795,122.223862,273.981354
172,0.87083,0.021587,0.034972,23.775866,122.27697,273.952667
173,0.870782,0.022413,0.036009,23.825384,122.375526,273.938843
174,0.870436,0.021104,0.034761,23.749067,122.31102,273.982635
175,0.870667,0.022534,0.035794,23.811949,122.284409,273.966644
176,0.870931,0.022115,0.035732,23.830423,122.272491,273.939758
177,0.870404,0.021837,0.035388,23.791056,122.342445,273.950684
178,0.870479,0.021722,0.035828,23.860477,122.317505,273.967194
179,0.871064,0.021938,0.035576,23.794651,122.280975,273.957916
180,0.870415,0.022781,0.036313,23.835236,122.241341,273.995789
181,0.870461,0.020595,0.034056,23.710867,122.240784,273.962036
182,0.870006,0.021527,0.035338,23.793839,122.231895,273.988037
183,0.870662,0.022311,0.035655,23.788042,122.257614,273.9729
184,0.870381,0.021489,0.034922,23.760735,122.307045,273.985382
185,0.870524,0.021978,0.035649,23.805887,122.259293,273.957001
186,0.870581,0.022295,0.036104,23.854565,122.263657,273.981476
187,0.870539,0.021921,0.035421,23.800297,122.330978,273.965729
188,0.870876,0.021864,0.035447,23.801027,122.269989,273.955353
189,0.87101,0.022039,0.035606,23.806749,122.312553,273.93866
190,0.870836,0.022667,0.036244,23.830133,122.290337,273.953735
191,0.870771,0.020956,0.035091,23.829481,122.239822,273.958191
192,0.870594,0.0215,0.035404,23.799742,122.256554,273.997894
193,0.870805,0.022595,0.035836,23.773394,122.306969,273.934509
194,0.870484,0.021572,0.03505,23.781828,122.243103,273.992523
195,0.870602,0.02127,0.034922,23.760973,122.235321,273.986206
196,0.871,0.022552,0.035597,23.779295,122.227936,273.942474
197,0.870018,0.022845,0.036522,23.834785,122.326546,273.970215
198,0.870721,0.022721,0.036135,23.822338,122.215736,273.935913
